User Query,Action,Amount,Recipient
Pay my rent bill,Pay bill,1931.0,rent
How much money do I have?,Check balance,,
What is my loan balance?,Check loan,,
How much do I owe on my loan?,Check loan,,
Check my loan status,Check loan,,
I want to borrow 49800 ZAR,Apply for loan,49800.0,
Check my loan status,Check loan,,
I need to pay 3417 ZAR for my rent,Pay bill,3417.0,rent
Can I get a loan for 6371 ZAR?,Apply for loan,6371.0,
Move 8058 ZAR to investment,Transfer money,8058.0,investment
Send 2419 ZAR to Jane,Send money,2419.0,Jane
I want to send 8083 ZAR to Mike,Send money,8083.0,Mike
Send 2075 ZAR to savings,Transfer money,2075.0,savings
What is my current balance?,Check balance,,
Pay 323 ZAR for water,Pay bill,323.0,water
I need to pay 2020 ZAR for my internet,Pay bill,2020.0,internet
Transfer 4553 ZAR to my checking,Transfer money,4553.0,checking
Send 1627 ZAR to checking,Transfer money,1627.0,checking
Check my balance,Check balance,,
Pay 1339 ZAR for water,Pay bill,1339.0,water
I want to send 61 ZAR to David,Send money,61.0,David
Send 6876 ZAR to investment,Transfer money,6876.0,investment
Check my balance,Check balance,,
Move 9333 ZAR to checking,Transfer money,9333.0,checking
Apply for a loan of 23822 ZAR,Apply for loan,23822.0,
Transfer 4814 ZAR to my investment,Transfer money,4814.0,investment
I want to borrow 47404 ZAR,Apply for loan,47404.0,
What is my loan balance?,Check loan,,
Transfer 5341 ZAR to my checking,Transfer money,5341.0,checking
Check my loan status,Check loan,,
Send 895 ZAR to savings,Transfer money,895.0,savings
Check my balance,Check balance,,
How much do I owe on my loan?,Check loan,,
How much money do I have?,Check balance,,
Transfer 2338 ZAR to David,Send money,2338.0,David
I want to borrow 35109 ZAR,Apply for loan,35109.0,
Transfer 8180 ZAR to my checking,Transfer money,8180.0,checking
Apply for a loan of 15190 ZAR,Apply for loan,15190.0,
What is my loan balance?,Check loan,,
I need to pay 641 ZAR for my rent,Pay bill,641.0,rent
I want to send 9948 ZAR to David,Send money,9948.0,David
Transfer 9114 ZAR to my investment,Transfer money,9114.0,investment
I need to pay 201 ZAR for my phone,Pay bill,201.0,phone
Move 2898 ZAR to checking,Transfer money,2898.0,checking
Pay 3359 ZAR for internet,Pay bill,3359.0,internet
What is my loan balance?,Check loan,,
Pay my rent bill,Pay bill,497.0,rent
Transfer 1926 ZAR to my investment,Transfer money,1926.0,investment
How much do I owe on my loan?,Check loan,,
I need to pay 4903 ZAR for my internet,Pay bill,4903.0,internet
Move 1526 ZAR to checking,Transfer money,1526.0,checking
I want to send 8389 ZAR to Jane,Send money,8389.0,Jane
I need to pay 493 ZAR for my phone,Pay bill,493.0,phone
Send 5392 ZAR to Emma,Send money,5392.0,Emma
Move 2326 ZAR to investment,Transfer money,2326.0,investment
Pay my internet bill,Pay bill,256.0,internet
I want to send 6523 ZAR to Emma,Send money,6523.0,Emma
Can I get a loan for 22694 ZAR?,Apply for loan,22694.0,
Send 3816 ZAR to Emma,Send money,3816.0,Emma
What is my current balance?,Check balance,,
Check my loan status,Check loan,,
Can I get a loan for 33660 ZAR?,Apply for loan,33660.0,
I need to pay 3161 ZAR for my water,Pay bill,3161.0,water
Pay my electricity bill,Pay bill,1384.0,electricity
How much do I owe on my loan?,Check loan,,
Transfer 7013 ZAR to David,Send money,7013.0,David
Check my balance,Check balance,,
Check my loan status,Check loan,,
What is my loan balance?,Check loan,,
Apply for a loan of 34158 ZAR,Apply for loan,34158.0,
What is my current balance?,Check balance,,
Pay my phone bill,Pay bill,2633.0,phone
Send 7173 ZAR to John,Send money,7173.0,John
How much money do I have?,Check balance,,
I want to borrow 32454 ZAR,Apply for loan,32454.0,
I want to borrow 8735 ZAR,Apply for loan,8735.0,
I want to send 3547 ZAR to Mike,Send money,3547.0,Mike
How much money do I have?,Check balance,,
How much do I owe on my loan?,Check loan,,
Check my balance,Check balance,,
Send 5272 ZAR to John,Send money,5272.0,John
Send 7252 ZAR to investment,Transfer money,7252.0,investment
Transfer 4072 ZAR to my checking,Transfer money,4072.0,checking
Can I get a loan for 45700 ZAR?,Apply for loan,45700.0,
How much do I owe on my loan?,Check loan,,
What is my current balance?,Check balance,,
Transfer 1078 ZAR to Sarah,Send money,1078.0,Sarah
What is my loan balance?,Check loan,,
How much money do I have?,Check balance,,
Can I get a loan for 21255 ZAR?,Apply for loan,21255.0,
Transfer 1750 ZAR to my savings,Transfer money,1750.0,savings
Apply for a loan of 19499 ZAR,Apply for loan,19499.0,
Transfer 9889 ZAR to David,Send money,9889.0,David
How much money do I have?,Check balance,,
What is my loan balance?,Check loan,,
How much do I owe on my loan?,Check loan,,
What is my loan balance?,Check loan,,
Transfer 8243 ZAR to Mike,Send money,8243.0,Mike
Transfer 3099 ZAR to Jane,Send money,3099.0,Jane
Send 4622 ZAR to checking,Transfer money,4622.0,checking
Transfer 4682 ZAR to Sarah,Send money,4682.0,Sarah
How much do I owe on my loan?,Check loan,,
Move 3901 ZAR to savings,Transfer money,3901.0,savings
I want to borrow 48440 ZAR,Apply for loan,48440.0,
